,outliers_cutoff,pca_n,top_features_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2,tier
298,2.5,3.0,10,2563,0.87,12401,0.69,Tier 1_2
299,2.5,3.0,15,3407,0.79,9448,0.64,Tier 1_2
300,2.5,3.0,20,3812,0.74,9616,0.68,Tier 1_2
301,2.5,3.0,30,4116,0.71,8326,0.47,Tier 1_2
302,2.5,3.0,40,3705,0.68,11096,0.81,Tier 1_2
303,2.5,5.0,10,1300,0.97,8385,0.58,Tier 1_2
304,2.5,5.0,15,1791,0.94,9089,0.59,Tier 1_2
305,2.5,5.0,20,1876,0.94,10337,0.39,Tier 1_2
306,2.5,5.0,30,3075,0.84,11681,0.28,Tier 1_2
307,2.5,5.0,40,3292,0.77,8392,0.73,Tier 1_2
308,2.5,7.0,10,1181,0.98,8798,0.62,Tier 1_2
309,2.5,7.0,15,1307,0.97,10928,0.51,Tier 1_2
310,2.5,7.0,20,1276,0.97,10875,0.39,Tier 1_2
311,2.5,7.0,30,1519,0.96,12337,0.32,Tier 1_2
312,2.5,7.0,40,3097,0.79,9642,0.62,Tier 1_2
313,2.5,10.0,10,1154,0.98,8941,0.57,Tier 1_2
314,2.5,10.0,15,1058,0.98,9854,0.61,Tier 1_2
315,2.5,10.0,20,1220,0.97,10801,0.39,Tier 1_2
316,2.5,10.0,30,1186,0.98,11441,0.33,Tier 1_2
317,2.5,10.0,40,1392,0.95,11439,0.6,Tier 1_2
318,2.5,12.0,15,1022,0.98,9381,0.57,Tier 1_2
319,2.5,12.0,20,1173,0.98,11158,0.41,Tier 1_2
320,2.5,12.0,30,1154,0.98,13364,0.27,Tier 1_2
321,2.5,12.0,40,955,0.98,8537,0.55,Tier 1_2
322,2.5,15.0,15,968,0.98,10169,0.47,Tier 1_2
323,2.5,15.0,20,922,0.99,8609,0.47,Tier 1_2
324,2.5,15.0,30,1079,0.98,13848,0.23,Tier 1_2
325,2.5,15.0,40,869,0.98,10262,0.49,Tier 1_2
326,2.5,17.0,20,915,0.99,9330,0.4,Tier 1_2
327,2.5,17.0,30,1047,0.98,13728,0.21,Tier 1_2
328,2.5,17.0,40,880,0.98,11415,0.39,Tier 1_2
329,2.5,20.0,20,869,0.99,11173,0.45,Tier 1_2
330,2.5,20.0,30,898,0.99,10908,0.36,Tier 1_2
331,2.5,20.0,40,782,0.99,8989,0.56,Tier 1_2
332,3.0,3.0,10,2322,0.94,7525,0.69,Tier 1_2
333,3.0,3.0,15,3494,0.82,8390,0.68,Tier 1_2
334,3.0,3.0,20,4072,0.76,8742,0.63,Tier 1_2
335,3.0,3.0,30,4628,0.7,9049,0.54,Tier 1_2
336,3.0,3.0,40,5232,0.62,5760,0.82,Tier 1_2
337,3.0,5.0,10,1630,0.97,8326,0.68,Tier 1_2
338,3.0,5.0,15,1742,0.96,9032,0.58,Tier 1_2
339,3.0,5.0,20,1732,0.96,10688,0.42,Tier 1_2
340,3.0,5.0,30,2809,0.88,11212,0.44,Tier 1_2
341,3.0,5.0,40,3928,0.79,8522,0.67,Tier 1_2
342,3.0,7.0,10,1663,0.97,7149,0.7,Tier 1_2
343,3.0,7.0,15,1361,0.97,8793,0.53,Tier 1_2
344,3.0,7.0,20,1283,0.98,10176,0.41,Tier 1_2
345,3.0,7.0,30,1534,0.97,11708,0.33,Tier 1_2
346,3.0,7.0,40,3403,0.83,11674,0.38,Tier 1_2
347,3.0,10.0,10,1565,0.97,7351,0.68,Tier 1_2
348,3.0,10.0,15,1070,0.98,11129,0.57,Tier 1_2
349,3.0,10.0,20,1213,0.98,10943,0.49,Tier 1_2
350,3.0,10.0,30,1216,0.98,10529,0.37,Tier 1_2
351,3.0,10.0,40,1306,0.98,7706,0.63,Tier 1_2
352,3.0,12.0,15,1029,0.98,9504,0.48,Tier 1_2
353,3.0,12.0,20,1145,0.98,11370,0.39,Tier 1_2
354,3.0,12.0,30,1210,0.98,11813,0.36,Tier 1_2
355,3.0,12.0,40,1072,0.98,10613,0.46,Tier 1_2
356,3.0,15.0,15,953,0.99,9838,0.54,Tier 1_2
357,3.0,15.0,20,932,0.99,12029,0.37,Tier 1_2
358,3.0,15.0,30,1209,0.98,11860,0.32,Tier 1_2
359,3.0,15.0,40,1006,0.99,11749,0.31,Tier 1_2
360,3.0,17.0,20,883,0.99,11242,0.37,Tier 1_2
361,3.0,17.0,30,1187,0.98,12647,0.27,Tier 1_2
362,3.0,17.0,40,1003,0.99,12374,0.31,Tier 1_2
363,3.0,20.0,20,882,0.99,12208,0.38,Tier 1_2
364,3.0,20.0,30,907,0.99,12690,0.25,Tier 1_2
365,3.0,20.0,40,1017,0.99,9200,0.45,Tier 1_2
366,3.5,3.0,10,3214,0.9,6706,0.8,Tier 1_2
367,3.5,3.0,15,3391,0.86,8685,0.65,Tier 1_2
368,3.5,3.0,20,4127,0.79,10696,0.6,Tier 1_2
369,3.5,3.0,30,4796,0.73,9997,0.5,Tier 1_2
370,3.5,3.0,40,5564,0.64,8213,0.81,Tier 1_2
371,3.5,5.0,10,3111,0.91,6768,0.81,Tier 1_2
372,3.5,5.0,15,1748,0.96,8797,0.66,Tier 1_2
373,3.5,5.0,20,1714,0.97,11265,0.33,Tier 1_2
374,3.5,5.0,30,2333,0.94,12605,0.29,Tier 1_2
375,3.5,5.0,40,4156,0.8,8816,0.74,Tier 1_2
376,3.5,7.0,10,2774,0.93,5718,0.84,Tier 1_2
377,3.5,7.0,15,1558,0.97,9199,0.57,Tier 1_2
378,3.5,7.0,20,1402,0.98,11005,0.38,Tier 1_2
379,3.5,7.0,30,1562,0.97,11425,0.42,Tier 1_2
380,3.5,7.0,40,2254,0.94,8693,0.53,Tier 1_2
381,3.5,10.0,10,2205,0.95,5621,0.86,Tier 1_2
382,3.5,10.0,15,1168,0.98,8422,0.58,Tier 1_2
383,3.5,10.0,20,1343,0.98,12189,0.39,Tier 1_2
384,3.5,10.0,30,1344,0.98,11373,0.42,Tier 1_2
385,3.5,10.0,40,1312,0.98,12104,0.36,Tier 1_2
386,3.5,12.0,15,1092,0.99,10306,0.59,Tier 1_2
387,3.5,12.0,20,1085,0.99,11492,0.36,Tier 1_2
388,3.5,12.0,30,1335,0.98,11437,0.4,Tier 1_2
389,3.5,12.0,40,1198,0.98,9377,0.57,Tier 1_2
390,3.5,15.0,15,1029,0.99,9821,0.58,Tier 1_2
391,3.5,15.0,20,975,0.99,11930,0.38,Tier 1_2
392,3.5,15.0,30,1286,0.98,13087,0.32,Tier 1_2
393,3.5,15.0,40,1189,0.98,11247,0.34,Tier 1_2
394,3.5,17.0,20,972,0.99,10663,0.38,Tier 1_2
395,3.5,17.0,30,1015,0.99,11357,0.39,Tier 1_2
396,3.5,17.0,40,1140,0.99,9201,0.54,Tier 1_2
397,3.5,20.0,20,984,0.99,10943,0.35,Tier 1_2
398,3.5,20.0,30,905,0.99,12675,0.39,Tier 1_2
399,3.5,20.0,40,1143,0.99,7684,0.64,Tier 1_2
400,1.0,na,10,1000,0.96,32120,0.86,Tier 1
401,1.0,na,15,1160,0.98,6354,0.9,Tier 1
402,1.0,na,20,1176,0.96,9521,0.92,Tier 1
403,1.0,na,30,1070,0.96,12502,0.86,Tier 1
404,1.0,na,40,13357,0.93,18210,0.27,Tier 1
405,1.5,na,10,1001,0.93,5221,0.9,Tier 1
406,1.5,na,15,828,0.95,6301,0.92,Tier 1
407,1.5,na,20,1793,0.96,7111,0.87,Tier 1
408,1.5,na,30,709,0.96,7226,0.82,Tier 1
409,1.5,na,40,681,0.96,10452,0.68,Tier 1
410,2.0,na,10,1207,0.92,6020,0.92,Tier 1
411,2.0,na,15,875,0.95,4478,0.92,Tier 1
412,2.0,na,20,816,0.96,4765,0.91,Tier 1
413,2.0,na,30,767,0.96,4624,0.91,Tier 1
414,2.0,na,40,775,0.96,12533,0.76,Tier 1
415,2.5,na,10,1451,0.96,11043,0.87,Tier 1
416,2.5,na,15,1375,0.97,10457,0.9,Tier 1
417,2.5,na,20,1239,0.97,10234,0.9,Tier 1
418,2.5,na,30,1242,0.97,9250,0.91,Tier 1
419,2.5,na,40,1246,0.97,48752,0.43,Tier 1
420,3.0,na,10,1474,0.97,10980,0.87,Tier 1
421,3.0,na,15,1354,0.97,8175,0.89,Tier 1
