,stock,463d-daily-flow,463-day-flow,463-day-sf
19.03.2020,18277925.0,1853.5907127429807,858212.5,21.297668118327337
20.03.2020,18279287.5,1852.9967602591794,857937.5,21.306082902309317
21.03.2020,18280837.5,1852.402807775378,857662.5,21.314721699969393
22.03.2020,18282425.0,1851.808855291577,857387.5,21.323409776792875
23.03.2020,18283825.0,1851.7278617710583,857350.0,21.325975389280924
24.03.2020,18285475.0,1850.9719222462204,857000.0,21.336610268378063
25.03.2020,18286625.0,1850.0,856550.0,21.34916233728329
26.03.2020,18288625.0,1850.2969762419007,856687.5,21.348070329028964
27.03.2020,18290562.5,1850.8369330453565,856937.5,21.344103274742906
28.03.2020,18292250.0,1850.7019438444925,856875.0,21.34762946754194
29.03.2020,18294137.5,1850.0539956803455,856575.0,21.35730963429939
30.03.2020,18295975.0,1849.2710583153348,856212.5,21.36849789041856
31.03.2020,18297962.5,1849.4600431965446,856300.0,21.36863540815135
01.04.2020,18299875.0,1849.2980561555075,856225.0,21.372740809950656
02.04.2020,18301787.5,1849.1900647948166,856175.0,21.376222734838088
03.04.2020,18303437.5,1848.0561555075594,855650.0,21.39126687313738
04.04.2020,18305400.0,1847.7861771058317,855525.0,21.39668624528798
05.04.2020,18307587.5,1848.7850971922248,855987.5,21.38768089487288
06.04.2020,18309187.5,1847.4892008639306,855387.5,21.404553491838495
07.04.2020,18311287.5,1847.8401727861767,855550.0,21.40294255157501
08.04.2020,18313087.5,1847.705183585313,855487.5,21.40661026607636
09.04.2020,18315012.5,1847.7861771058317,855525.0,21.40792203617662
10.04.2020,18317050.0,1848.0021598272135,855625.0,21.40780131482834
11.04.2020,18319037.5,1848.2721382289417,855750.0,21.40699678644464
12.04.2020,18320950.0,1848.0021598272135,855625.0,21.412359386413442
13.04.2020,18323087.5,1848.812095032397,856000.0,21.40547605140187
14.04.2020,18325187.5,1849.5410367170623,856337.5,21.39949202271301
15.04.2020,18327300.0,1849.5410367170623,856337.5,21.401958923905585
16.04.2020,18329225.0,1849.2710583153348,856212.5,21.40733170795801
17.04.2020,18330812.5,1848.4881209503242,855850.0,21.41825378278904
18.04.2020,18332787.5,1848.758099352052,855975.0,21.41743333625398
19.04.2020,18334687.5,1849.1360691144707,856150.0,21.415274776616247
20.04.2020,18336700.0,1849.7840172786175,856450.0,21.410123182906183
21.04.2020,18338562.5,1849.7840172786175,856450.0,21.41229785743476
22.04.2020,18340200.0,1849.7570194384452,856437.5,21.41452236736481
23.04.2020,18341975.0,1850.0,856550.0,21.41378203257253
24.04.2020,18343775.0,1850.4589632829372,856762.5,21.410571774558292
25.04.2020,18345475.0,1850.4049676025918,856737.5,21.41318081676126
26.04.2020,18347187.5,1850.5129589632832,856787.5,21.413929941788368
