,value
06/22/2013 00:00:00,1186271302
06/23/2013 00:00:00,1194756717
06/24/2013 00:00:00,1176395035
06/25/2013 00:00:00,1153860970
06/26/2013 00:00:00,1169502811
06/27/2013 00:00:00,1144702955
06/28/2013 00:00:00,1064314904
06/29/2013 00:00:00,1053378572
06/30/2013 00:00:00,1066894851
07/01/2013 00:00:00,1012913134
07/02/2013 00:00:00,1049622301
07/03/2013 00:00:00,924720044
07/04/2013 00:00:00,952746133
07/05/2013 00:00:00,805224390
07/06/2013 00:00:00,802361764
07/07/2013 00:00:00,889310302
07/08/2013 00:00:00,892631411
07/09/2013 00:00:00,904862005
07/10/2013 00:00:00,1035812367
07/11/2013 00:00:00,1049629524
07/12/2013 00:00:00,1077665982
07/13/2013 00:00:00,1096286739
07/14/2013 00:00:00,1080732810
07/15/2013 00:00:00,1124764428
07/16/2013 00:00:00,1101343836
07/17/2013 00:00:00,1096173145
07/18/2013 00:00:00,1025771347
07/19/2013 00:00:00,1044238214
07/20/2013 00:00:00,1027389390
07/21/2013 00:00:00,1033683748
07/22/2013 00:00:00,1035728212
07/23/2013 00:00:00,1049280000
07/24/2013 00:00:00,1069088072
07/25/2013 00:00:00,1087552494
07/26/2013 00:00:00,1079665652
07/27/2013 00:00:00,1010437699
07/28/2013 00:00:00,1119042660
07/29/2013 00:00:00,1125481203
07/30/2013 00:00:00,1161104903
07/31/2013 00:00:00,1182722771
08/01/2013 00:00:00,1164194647
08/02/2013 00:00:00,1155130575
08/03/2013 00:00:00,1152547201
08/04/2013 00:00:00,1163060422
08/05/2013 00:00:00,1177519126
08/06/2013 00:00:00,1178429915
08/07/2013 00:00:00,1167238424
08/08/2013 00:00:00,1138194444
08/09/2013 00:00:00,1116309068
08/10/2013 00:00:00,1125939490
08/11/2013 00:00:00,1131981858
08/12/2013 00:00:00,1147853142
08/13/2013 00:00:00,1183422203
08/14/2013 00:00:00,1194573415
08/15/2013 00:00:00,1183097434
08/16/2013 00:00:00,1184906557
08/17/2013 00:00:00,1207627290
08/18/2013 00:00:00,1198026129
08/19/2013 00:00:00,1239069439
08/20/2013 00:00:00,1266213575
08/21/2013 00:00:00,1328009986
08/22/2013 00:00:00,1313378374
08/23/2013 00:00:00,1302057209
08/24/2013 00:00:00,1311105196
08/25/2013 00:00:00,1360377279
08/26/2013 00:00:00,1352884991
08/27/2013 00:00:00,1417565150
08/28/2013 00:00:00,1420418987
08/29/2013 00:00:00,1427962657
