,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
321,80,60,3.5,3.0,7482,0.83,6916,0.84
322,80,60,3.5,5.0,7022,0.86,9091,0.68
323,80,60,3.5,7.0,6727,0.88,8142,0.75
324,80,80,1.0,3.0,2035,0.85,9941,0.65
325,80,80,1.0,5.0,1898,0.91,13366,0.68
326,80,80,1.0,7.0,1979,0.91,12186,0.65
327,80,80,1.5,3.0,1905,0.9,11653,0.68
328,80,80,1.5,5.0,1844,0.92,11469,0.68
329,80,80,1.5,7.0,1796,0.92,11456,0.67
330,80,80,2.0,3.0,2186,0.89,10993,0.74
331,80,80,2.0,5.0,2223,0.88,10808,0.79
332,80,80,2.0,7.0,2237,0.89,11500,0.65
333,80,80,2.5,3.0,5267,0.77,7963,0.83
334,80,80,2.5,5.0,4997,0.81,8433,0.69
335,80,80,2.5,7.0,4716,0.84,9754,0.57
336,80,80,3.0,3.0,7277,0.84,8362,0.78
337,80,80,3.0,5.0,6934,0.87,8804,0.66
338,80,80,3.0,7.0,6769,0.89,6993,0.77
339,80,80,3.5,3.0,7110,0.84,7394,0.82
340,80,80,3.5,5.0,6822,0.87,9241,0.67
341,80,80,3.5,7.0,6559,0.89,6360,0.88
342,80,100,1.0,3.0,2067,0.85,12068,0.61
343,80,100,1.0,5.0,1934,0.92,10931,0.66
344,80,100,1.0,7.0,1798,0.92,13372,0.56
345,80,100,1.5,3.0,1858,0.89,11390,0.75
346,80,100,1.5,5.0,1708,0.92,13139,0.7
347,80,100,1.5,7.0,1711,0.93,13284,0.8
348,80,100,2.0,3.0,2299,0.86,11587,0.83
349,80,100,2.0,5.0,2087,0.89,11856,0.76
350,80,100,2.0,7.0,2039,0.9,12176,0.68
351,80,100,2.5,3.0,5213,0.78,7198,0.85
352,80,100,2.5,5.0,4853,0.82,7856,0.74
353,80,100,2.5,7.0,4479,0.85,9437,0.74
354,80,100,3.0,3.0,7149,0.85,6331,0.83
355,80,100,3.0,5.0,6673,0.87,6660,0.85
356,80,100,3.0,7.0,6338,0.89,9259,0.81
357,80,100,3.5,3.0,6960,0.85,7063,0.84
358,80,100,3.5,5.0,6645,0.87,7248,0.83
359,80,100,3.5,7.0,6378,0.89,7692,0.76
360,100,20,1.0,3.0,2571,0.85,13588,0.63
361,100,20,1.0,5.0,2451,0.89,12734,0.58
362,100,20,1.0,7.0,2494,0.9,11483,0.63
363,100,20,1.5,3.0,2331,0.89,11897,0.74
364,100,20,1.5,5.0,2218,0.91,10714,0.79
365,100,20,1.5,7.0,2226,0.92,11654,0.74
366,100,20,2.0,3.0,2590,0.86,11524,0.76
367,100,20,2.0,5.0,2552,0.86,11148,0.72
368,100,20,2.0,7.0,2504,0.87,10932,0.68
369,100,20,2.5,3.0,6236,0.71,8458,0.77
370,100,20,2.5,5.0,5702,0.76,9524,0.71
371,100,20,2.5,7.0,5464,0.8,9045,0.72
372,100,20,3.0,3.0,8652,0.8,9625,0.73
373,100,20,3.0,5.0,8328,0.84,10457,0.69
374,100,20,3.0,7.0,7898,0.87,10978,0.71
375,100,20,3.5,3.0,8247,0.81,7881,0.81
376,100,20,3.5,5.0,7771,0.84,9969,0.63
377,100,20,3.5,7.0,7527,0.87,8298,0.86
378,100,40,1.0,3.0,2238,0.85,13856,0.78
379,100,40,1.0,5.0,2156,0.92,13465,0.7
380,100,40,1.0,7.0,2207,0.91,14294,0.61
381,100,40,1.5,3.0,2075,0.9,10507,0.64
382,100,40,1.5,5.0,1898,0.91,12552,0.68
383,100,40,1.5,7.0,1967,0.92,13522,0.78
384,100,40,2.0,3.0,2378,0.88,12186,0.72
385,100,40,2.0,5.0,2279,0.89,12157,0.78
386,100,40,2.0,7.0,2274,0.89,10752,0.79
387,100,40,2.5,3.0,5575,0.74,8170,0.79
388,100,40,2.5,5.0,5007,0.79,9318,0.86
389,100,40,2.5,7.0,4603,0.82,9911,0.78
390,100,40,3.0,3.0,7885,0.82,8155,0.72
391,100,40,3.0,5.0,7563,0.85,9484,0.59
392,100,40,3.0,7.0,7281,0.88,7891,0.8
393,100,40,3.5,3.0,7619,0.82,8613,0.74
394,100,40,3.5,5.0,7234,0.85,9143,0.68
395,100,40,3.5,7.0,6943,0.88,9358,0.67
396,100,60,1.0,3.0,1989,0.84,15285,0.68
397,100,60,1.0,5.0,1979,0.9,13306,0.7
398,100,60,1.0,7.0,1988,0.92,12230,0.56
399,100,60,1.5,3.0,1925,0.9,12387,0.74
400,100,60,1.5,5.0,1885,0.92,10564,0.76
401,100,60,1.5,7.0,1801,0.92,11692,0.63
402,100,60,2.0,3.0,2230,0.89,10561,0.77
403,100,60,2.0,5.0,2190,0.89,11064,0.74
404,100,60,2.0,7.0,2118,0.9,10689,0.69
405,100,60,2.5,3.0,5463,0.76,7286,0.82
406,100,60,2.5,5.0,4851,0.81,10946,0.64
407,100,60,2.5,7.0,4610,0.84,11207,0.58
408,100,60,3.0,3.0,7335,0.84,6506,0.85
409,100,60,3.0,5.0,7077,0.86,7671,0.8
410,100,60,3.0,7.0,6647,0.89,8218,0.69
411,100,60,3.5,3.0,7128,0.84,8360,0.78
412,100,60,3.5,5.0,6902,0.87,8702,0.71
413,100,60,3.5,7.0,6644,0.89,6638,0.83
414,100,80,1.0,3.0,1885,0.86,13685,0.67
415,100,80,1.0,5.0,1880,0.92,12509,0.77
416,100,80,1.0,7.0,1864,0.92,11854,0.65
417,100,80,1.5,3.0,1789,0.9,12595,0.76
418,100,80,1.5,5.0,1730,0.93,10785,0.69
419,100,80,1.5,7.0,1722,0.92,13442,0.74
420,100,80,2.0,3.0,2095,0.89,11461,0.78
421,100,80,2.0,5.0,2077,0.9,11869,0.78
422,100,80,2.0,7.0,2014,0.9,11667,0.69
423,100,80,2.5,3.0,4939,0.78,9478,0.85
424,100,80,2.5,5.0,4603,0.82,8647,0.81
425,100,80,2.5,7.0,4590,0.84,10247,0.52
426,100,80,3.0,3.0,7035,0.85,7750,0.84
427,100,80,3.0,5.0,6707,0.87,6574,0.86
428,100,80,3.0,7.0,6417,0.89,6905,0.81
429,100,80,3.5,3.0,6957,0.85,7316,0.86
430,100,80,3.5,5.0,6656,0.87,8211,0.71
431,100,80,3.5,7.0,6432,0.89,7686,0.73
432,100,100,1.0,3.0,1872,0.87,12604,0.68
433,100,100,1.0,5.0,1779,0.93,12474,0.82
434,100,100,1.0,7.0,1761,0.92,12594,0.6
435,100,100,1.5,3.0,1777,0.9,12332,0.73
436,100,100,1.5,5.0,1628,0.93,11695,0.73
437,100,100,1.5,7.0,1613,0.93,10907,0.78
438,100,100,2.0,3.0,2174,0.87,9361,0.79
439,100,100,2.0,5.0,1985,0.9,11295,0.74
440,100,100,2.0,7.0,1979,0.91,10573,0.77
441,100,100,2.5,3.0,5174,0.79,6028,0.84
442,100,100,2.5,5.0,4813,0.82,7976,0.73
443,100,100,2.5,7.0,4514,0.85,8419,0.7
444,100,100,3.0,3.0,6872,0.85,6889,0.86
445,100,100,3.0,5.0,6642,0.87,8203,0.66
446,100,100,3.0,7.0,6235,0.89,9135,0.73
447,100,100,3.5,3.0,6813,0.86,7254,0.8
448,100,100,3.5,5.0,6424,0.88,8478,0.73
449,100,100,3.5,7.0,6211,0.9,7729,0.71
450,20,20,1.0,na,3014,0.77,14666,0.78
451,20,20,1.5,na,2870,0.93,11212,0.82
452,20,20,2.0,na,2870,0.87,11870,0.84
453,20,20,2.5,na,6208,0.78,9713,0.81
454,20,20,3.0,na,9312,0.84,8294,0.82
455,20,20,3.5,na,9280,0.83,8220,0.77
456,20,40,1.0,na,2752,0.82,14502,0.84
457,20,40,1.5,na,2449,0.9,9933,0.81
458,20,40,2.0,na,2602,0.88,10584,0.82
459,20,40,2.5,na,6076,0.79,7316,0.83
460,20,40,3.0,na,8383,0.84,8953,0.84
461,20,40,3.5,na,8298,0.83,8266,0.83
462,20,60,1.0,na,2564,0.81,14057,0.84
463,20,60,1.5,na,2261,0.93,9472,0.8
464,20,60,2.0,na,2415,0.89,9845,0.82
465,20,60,2.5,na,5488,0.8,8395,0.85
466,20,60,3.0,na,8211,0.85,8133,0.85
467,20,60,3.5,na,7892,0.84,7573,0.85
468,20,80,1.0,na,2412,0.82,13582,0.83
469,20,80,1.5,na,2158,0.93,9147,0.8
470,20,80,2.0,na,2421,0.9,11176,0.83
471,20,80,2.5,na,5192,0.8,9783,0.86
472,20,80,3.0,na,7991,0.85,7513,0.84
473,20,80,3.5,na,7548,0.85,7470,0.86
474,20,100,1.0,na,2168,0.84,14224,0.86
475,20,100,1.5,na,2012,0.94,11540,0.83
